Name,Short description,Description,Regular price,Category
Espresso,Delicious Espresso,"A popular choice, perfect for a quick pick-me-up with a rich flavor of espresso",3.0,Espresso based
Doppio,Delicious Doppio,"A popular choice, perfect for a quick pick-me-up with a rich flavor of doppio",3.5,Espresso based
Cortado,Delicious Cortado,"A popular choice, perfect for a quick pick-me-up with a rich flavor of cortado",3.5,Espresso based
Espresso Macchiato,Tasty Espresso,"A popular choice, perfect for a quick pick-me-up with a rich flavor of espresso macchiato",3.5,Espresso based
Americano - small,Delicious Americano,"A popular choice, perfect for a quick pick-me-up with a rich flavor of americano",3.0,Espresso based
Americano - big,Delicious Americano,"A popular choice, perfect for a quick pick-me-up with a rich flavor of americano",3.5,Espresso based
Americano - small,Delicious Americano,"A popular choice, perfect for a quick pick-me-up with a rich flavor of americano",3.0,Espresso based
Americano - big,Delicious Americano,"A popular choice, perfect for a quick pick-me-up with a rich flavor of americano",3.5,Espresso based
Cappuccino - small,Delicious Cappuccino,"A popular choice, perfect for a quick pick-me-up with a rich flavor of cappuccino",4.0,Espresso based
Cappuccino - big,Delicious Cappuccino,"A popular choice, perfect for a quick pick-me-up with a rich flavor of cappuccino",5.0,Espresso based
Cappuccino - small,Delicious Cappuccino,"A popular choice, perfect for a quick pick-me-up with a rich flavor of cappuccino",4.0,Espresso based
Cappuccino - big,Delicious Cappuccino,"A popular choice, perfect for a quick pick-me-up with a rich flavor of cappuccino",5.0,Espresso based
Flat White,Tasty Flat,"A popular choice, perfect for a quick pick-me-up with a rich flavor of flat white",4.5,Espresso based
Latte - small,Delicious Latte,"A popular choice, perfect for a quick pick-me-up with a rich flavor of latte",4.5,Espresso based
Latte - big,Delicious Latte,"A popular choice, perfect for a quick pick-me-up with a rich flavor of latte",5.0,Espresso based
Latte - small,Delicious Latte,"A popular choice, perfect for a quick pick-me-up with a rich flavor of latte",4.5,Espresso based
Latte - big,Delicious Latte,"A popular choice, perfect for a quick pick-me-up with a rich flavor of latte",5.0,Espresso based
Mochacino,Delicious Mochacino,"A popular choice, perfect for a quick pick-me-up with a rich flavor of mochacino",4.5,Café barista
Gold Cappuccino - small,Tasty Gold,"A popular choice, perfect for a quick pick-me-up with a rich flavor of gold cappuccino",4.5,Café barista
